identity,leader_class,lane_a,name_a,lane_b,name_b,comparisons,a_wins,a_win_rate,matched_fee_comparisons,matched_fee_a_wins,matched_fee_a_win_rate
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,6,landx,7,tpu-quic,33,3,0.09090909090909091,9,0,0.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,6,landx,9,stellium,18,5,0.2777777777777778,8,2,0.25
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,6,landx,10,nodeone,19,17,0.8947368421052632,13,11,0.8461538461538461
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,7,tpu-quic,9,stellium,30,28,0.9333333333333333,4,4,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,7,tpu-quic,10,nodeone,24,21,0.875,3,3,1.0
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,prio,9,stellium,10,nodeone,14,11,0.7857142857142857,10,8,0.8
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,0,unknown,7,tpu-quic,1,0,0.0,0,0,
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,2,helius,181,130,0.7182320441988951,87,66,0.7586206896551724
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,3,zeroslot,188,129,0.6861702127659575,89,65,0.7303370786516854
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,4,temporal,27,19,0.7037037037037037,21,15,0.7142857142857143
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,5,astralane,8,8,1.0,8,8,1.0
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,6,landx,175,117,0.6685714285714286,109,75,0.6880733944954128
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,7,tpu-quic,302,71,0.23509933774834438,130,32,0.24615384615384617
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,9,stellium,132,94,0.7121212121212122,64,52,0.8125
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,1,rpc,10,nodeone,101,74,0.7326732673267327,55,44,0.8
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,3,zeroslot,789,697,0.8833967046894804,457,409,0.8949671772428884
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,4,temporal,78,45,0.5769230769230769,15,6,0.4
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,5,astralane,12,7,0.5833333333333334,4,2,0.5
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,6,landx,684,299,0.4371345029239766,395,160,0.4050632911392405
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,7,tpu-quic,1150,136,0.11826086956521739,190,21,0.11052631578947368
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,9,stellium,583,307,0.5265866209262435,344,171,0.49709302325581395
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,2,helius,10,nodeone,535,92,0.17196261682242991,310,50,0.16129032258064516
